objectid,pid,title,archival_call_number,archival_collection,finding_aid_ark,source,contributing_institution_valueURI,creator,personal_creator_valueURI,description,language,subject,topical_subject_fast_valueURI,location,geographic_subject_fast_valueURI,latitude,longitude,personal_name_subject,corporate_name_subject,dcmi_type_valueURI,aat_genre,aat_genre_valueURI,type,type_of_resource,imt_type,rights,rightsstatement,date,date_original,date_digital,ark,local_id,date_created,date_modified,digital_collection,digital_collection_ark,colorspace,digital_origin,filename,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text
pascal_000,Pascal_16,Mixing cement for an ice house,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Two men mixing cement to build an ice house behind the Pascal house east of Grand Mound, Iowa.",zxx,Homes;Icehouses,http://id.worldcat.org/fast/1353235;http://id.worldcat.org/fast/966639,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,Pascal family,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-21,https://n2t.net/ark:/87292/w9127z,Pascal_16,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_10-34.jpg,91_pascal_10-34,image/jpeg,image,/objects/91_pascal_10-34.jpg,/objects/small/91_pascal_10-34_sm.jpg,/objects/thumbs/91_pascal_10-34_th.jpg,
pascal_001,Pascal_17,George and Descartes (Dan) Pascal,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"George and Descartes (Dan) Pascal at the John Pascal farm in Pocahontas, Iowa. The man on the right holds a rifle.",zxx,Homes,http://id.worldcat.org/fast/1353235,Iowa--Pocahontas County;Iowa,http://id.worldcat.org/fast/1220977;http://id.worldcat.org/fast/1205835,,,"Pascal, George;Pascal family",,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-21,https://n2t.net/ark:/87292/w9w84n,Pascal_17,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_10-36.jpg,91_pascal_10-36,image/jpeg,image,/objects/91_pascal_10-36.jpg,/objects/small/91_pascal_10-36_sm.jpg,/objects/thumbs/91_pascal_10-36_th.jpg,
pascal_002,Pascal_18,Bussen farm,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"The Bussen farm, east of Grand Mound, Iowa. A man is at a pump near the fence at the front of the yard.",zxx,Homes,http://id.worldcat.org/fast/1353235,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,Bussen family,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-21,https://n2t.net/ark:/87292/w9rk2r,Pascal_18,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_11-1.jpg,91_pascal_11-1,image/jpeg,image,/objects/91_pascal_11-1.jpg,/objects/small/91_pascal_11-1_sm.jpg,/objects/thumbs/91_pascal_11-1_th.jpg,
pascal_003,Pascal_23,Railroad tracks,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Railroad tracks at cliffs near DeWitt, Iowa.",zxx,Railroad tracks;Railroad trains,http://id.worldcat.org/fast/1431160;http://id.worldcat.org/fast/1431189,Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-21,https://n2t.net/ark:/87292/w93v8w,Pascal_23,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_11-14.jpg,91_pascal_11-14,image/jpeg,image,/objects/91_pascal_11-14.jpg,/objects/small/91_pascal_11-14_sm.jpg,/objects/thumbs/91_pascal_11-14_th.jpg,
pascal_004,Pascal_19,School group at Allison School,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"School group at Allison School in Orange Township, Clinton County, Iowa.",zxx,,,Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,,Allison School (Iowa),http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,2005-06-21,https://n2t.net/ark:/87292/w9mr9w,Pascal_19,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_11-5.jpg,91_pascal_11-5,image/jpeg,image,/objects/91_pascal_11-5.jpg,/objects/small/91_pascal_11-5_sm.jpg,/objects/thumbs/91_pascal_11-5_th.jpg,
pascal_005,Pascal_20,Professor Carter,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,Professor Carter was a traveling entertainer. In this photograph he is balancing a wooden chair on his chin.,zxx,Entertainers,http://id.worldcat.org/fast/912655,Iowa,http://id.worldcat.org/fast/1205835,,,,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,2005-06-21,https://n2t.net/ark:/87292/w9h279,Pascal_20,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_11-8.jpg,91_pascal_11-8,image/jpeg,image,/objects/91_pascal_11-8.jpg,/objects/small/91_pascal_11-8_sm.jpg,/objects/thumbs/91_pascal_11-8_th.jpg,
pascal_006,Pascal_22,Street scene in Grand Mound,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"Street scene in Grand Mound, Iowa. Men and boys stand outside C. H. Jacobs' Harness Shop. Several more men stand farther down the street.",zxx,,,Iowa--Clinton County;Iowa--Clinton County;Iowa,http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205009;http://id.worldcat.org/fast/1205835,,,,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1890,1890/1900,2005-06-17,https://n2t.net/ark:/87292/w97k23,Pascal_22,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_2-10.jpg,91_pascal_2-10,image/jpeg,image,/objects/91_pascal_2-10.jpg,/objects/small/91_pascal_2-10_sm.jpg,/objects/thumbs/91_pascal_2-10_th.jpg,
pascal_007,Pascal_25,Arcana Celestia (Lettie) Pascal,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"A woman, Arcana Celestia (Lettie) Pascal, holds the reins of a horse. A colt stands beside the horse. Arcana is the sister of Descartes Pascal.",zxx,,,Iowa,http://id.worldcat.org/fast/1205835,,,"Pascal, Arcana Celestia",,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-17,https://n2t.net/ark:/87292/w9vc30,Pascal_25,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_2-12.jpg,91_pascal_2-12,image/jpeg,image,/objects/91_pascal_2-12.jpg,/objects/small/91_pascal_2-12_sm.jpg,/objects/thumbs/91_pascal_2-12_th.jpg,
pascal_008,Pascal_26,Lucy Pascal,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,"A woman, Lucy Pascal, holding a sketch pad. Lucy is the sister of Descartes Pascal. She is sitting on a boulder under a tree.",zxx,,,Iowa,http://id.worldcat.org/fast/1205835,,,"Pascal, Lucy",,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1890,1890/1899,2005-06-17,https://n2t.net/ark:/87292/w9qk12,Pascal_26,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_2-15.jpg,91_pascal_2-15,image/jpeg,image,/objects/91_pascal_2-15.jpg,/objects/small/91_pascal_2-15_sm.jpg,/objects/thumbs/91_pascal_2-15_th.jpg,
pascal_009,Pascal_0,Field with hay stacks,MS 91,"Descartes Pascal papers, 1890-1937, undated",https://n2t.net/ark:/87292/w9nb3s,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Pascal, Descartes, 1870-1937",http://id.loc.gov/authorities/names/no2021094549,This image depicts a field with several hay stacks. Two men are shown; one is at work stacking the wild prairie grass hay.,zxx,"Stacks (Hay, grain, etc.)",http://id.worldcat.org/fast/1131264,Iowa,http://id.worldcat.org/fast/1205835,,,,,http://purl.org/dc/dcmitype/Image,glass plate negatives,http://vocab.getty.edu/aat/300393160,Image,still image,image/tiff,"The Iowa State University Library believes that this item is in the public domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The item may not be in the public domain under the laws of other countries.",http://rightsstatements.org/vocab/NoC-US/1.0/,1880,1880/1920,2005-06-17,https://n2t.net/ark:/87292/w92z6v,Pascal_0,2010-01-11,2023-10-20,Descartes Pascal,http://n2t.net/ark:/87292/w9p55dg68,Grayscale,reformatted digital,91_pascal_2-7.jpg,91_pascal_2-7,image/jpeg,image,/objects/91_pascal_2-7.jpg,/objects/small/91_pascal_2-7_sm.jpg,/objects/thumbs/91_pascal_2-7_th.jpg,
